"Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","Units","Daily.AQI.Value","Local.Site.Name","Daily.Obs.Count","Percent.Complete","AQS.Parameter.Code","AQS.Parameter.Description","Method.Code","Method.Description","CBSA.Code","CBSA.Name","State.FIPS.Code","State","County.FIPS.Code","County","Site.Latitude","Site.Longitude"
"12/01/2024","AQS","060290020",3,2.4,"ug/m3 LC",13,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/02/2024","AQS","060290020",3,1.8,"ug/m3 LC",10,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/03/2024","AQS","060290020",3,1.6,"ug/m3 LC",9,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/04/2024","AQS","060290020",3,3.3,"ug/m3 LC",18,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/05/2024","AQS","060290020",3,2.9,"ug/m3 LC",16,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/06/2024","AQS","060290020",3,2.1,"ug/m3 LC",12,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/07/2024","AQS","060290020",3,0.2,"ug/m3 LC",1,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/08/2024","AQS","060290020",3,1.2,"ug/m3 LC",7,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/09/2024","AQS","060290020",3,3.4,"ug/m3 LC",19,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/10/2024","AQS","060290020",3,1.5,"ug/m3 LC",8,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/11/2024","AQS","060290020",3,2.3,"ug/m3 LC",13,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/12/2024","AQS","060290020",3,4.2,"ug/m3 LC",23,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/13/2024","AQS","060290020",3,1.9,"ug/m3 LC",11,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/14/2024","AQS","060290020",3,1.6,"ug/m3 LC",9,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/15/2024","AQS","060290020",3,2,"ug/m3 LC",11,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/16/2024","AQS","060290020",3,1.8,"ug/m3 LC",10,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/17/2024","AQS","060290020",3,0.3,"ug/m3 LC",2,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/18/2024","AQS","060290020",3,2.3,"ug/m3 LC",13,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/19/2024","AQS","060290020",3,1.5,"ug/m3 LC",8,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/20/2024","AQS","060290020",3,2.2,"ug/m3 LC",12,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/21/2024","AQS","060290020",3,1.9,"ug/m3 LC",11,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/22/2024","AQS","060290020",3,1.3,"ug/m3 LC",7,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/23/2024","AQS","060290020",3,0.2,"ug/m3 LC",1,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/24/2024","AQS","060290020",3,0.9,"ug/m3 LC",5,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/25/2024","AQS","060290020",3,1.3,"ug/m3 LC",7,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/26/2024","AQS","060290020",3,1.3,"ug/m3 LC",7,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/27/2024","AQS","060290020",3,-0.2,"ug/m3 LC",0,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/28/2024","AQS","060290020",3,0,"ug/m3 LC",0,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/29/2024","AQS","060290020",3,1.1,"ug/m3 LC",6,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/31/2024","AQS","060290020",3,2.8,"ug/m3 LC",16,"Mojave-Pat Avenue",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",12540,"Bakersfield, CA",6,"California",29,"Kern",35.04944,-118.18893
"12/01/2024","AQS","060292009",3,0.9,"ug/m3 LC",5,"Lebec",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",731,"Met-One BAM-1020 W/PM2.5 SCC",12540,"Bakersfield, CA",6,"California",29,"Kern",34.841567,-118.860588
"12/02/2024","AQS","060292009",3,1.1,"ug/m3 LC",6,"Lebec",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",731,"Met-One BAM-1020 W/PM2.5 SCC",12540,"Bakersfield, CA",6,"California",29,"Kern",34.841567,-118.860588
"12/03/2024","AQS","060292009",3,2.5,"ug/m3 LC",14,"Lebec",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",731,"Met-One BAM-1020 W/PM2.5 SCC",12540,"Bakersfield, CA",6,"California",29,"Kern",34.841567,-118.860588
"12/04/2024","AQS","060292009",3,1.5,"ug/m3 LC",8,"Lebec",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",731,"Met-One BAM-1020 W/PM2.5 SCC",12540,"Bakersfield, CA",6,"California",29,"Kern",34.841567,-118.860588
